ID,Vehicles
20170701001,70
20170701002,27
20170701003,32
20170701004,10
20170701011,74
20170701012,28
20170701013,44
20170701014,15
20170701021,65
20170701022,24
20170701023,49
20170701024,9
20170701031,55
20170701032,20
20170701033,51
20170701034,9
20170701041,48
20170701042,17
20170701043,49
20170701044,8
20170701051,44
20170701052,15
20170701053,51
20170701054,8
20170701061,45
20170701062,14
20170701063,51
20170701064,9
20170701071,49
20170701072,15
20170701073,52
20170701074,8
20170701081,56
20170701082,15
20170701083,54
20170701084,11
20170701091,66
20170701092,18
20170701093,59
20170701094,15
20170701101,79
20170701102,20
20170701103,62
20170701104,15
20170701111,89
20170701112,25
20170701113,63
20170701114,16
20170701121,93
20170701122,25
20170701123,64
20170701124,23
20170701131,85
20170701132,27
20170701133,64
20170701134,24
20170701141,95
20170701142,27
20170701143,63
20170701144,17
20170701151,91
20170701152,26
20170701153,63
20170701154,19
20170701161,90
20170701162,26
20170701163,88
20170701164,28
20170701171,94
20170701172,26
20170701173,70
20170701174,25
20170701181,100
20170701182,26
20170701183,74
20170701184,23
20170701191,99
20170701192,27
20170701193,74
20170701194,18
20170701201,89
20170701202,28
20170701203,77
20170701204,17
20170701211,88
20170701212,27
20170701213,73
20170701214,21
20170701221,86
20170701222,24
20170701223,62
20170701224,15
20170701231,79
20170701232,24
20170701233,66
20170701234,17
20170702001,66
20170702002,22
20170702003,83
20170702004,16
20170702011,55
20170702012,19
20170702013,77
20170702014,10
20170702021,44
20170702022,16
20170702023,83
20170702024,7
20170702031,35
20170702032,13
20170702033,83
20170702034,7
20170702041,29
20170702042,9
20170702043,83
20170702044,6
20170702051,27
20170702052,8
20170702053,82
20170702054,8
20170702061,29
20170702062,8
20170702063,83
20170702064,6
20170702071,33
20170702072,9
20170702073,84
20170702074,7
20170702081,43
20170702082,11
20170702083,87
20170702084,8
20170702091,57
20170702092,14
20170702093,92
20170702094,12
20170702101,70
20170702102,17
20170702103,95
20170702104,20
20170702111,80
20170702112,21
20170702113,97
20170702114,21
20170702121,85
20170702122,23
20170702123,97
20170702124,26
20170702131,81
20170702132,25
20170702133,100
20170702134,26
20170702141,92
20170702142,26
20170702143,79
20170702144,23
20170702151,90
20170702152,26
20170702153,79
20170702154,21
20170702161,91
20170702162,26
20170702163,87
20170702164,24
20170702171,97
20170702172,27
20170702173,76
20170702174,22
20170702181,104
20170702182,29
20170702183,92
20170702184,26
20170702191,108
20170702192,30
20170702193,71
20170702194,20
20170702201,100
20170702202,31
20170702203,83
20170702204,19
20170702211,99
20170702212,31
20170702213,69
20170702214,18
20170702221,97
20170702222,30
20170702223,65
20170702224,15
20170702231,92
20170702232,29
20170702233,85
20170702234,22
20170703001,82
20170703002,28
20170703003,74
20170703004,17
20170703011,73
20170703012,27
20170703013,63
20170703014,10
20170703021,64
20170703022,24
20170703023,74
20170703024,8
20170703031,59
20170703032,22
20170703033,78
20170703034,7
20170703041,54
20170703042,19
20170703043,75
20170703044,12
20170703051,53
20170703052,16
20170703053,75
20170703054,7
20170703061,58
20170703062,17
20170703063,75
20170703064,7
20170703071,65
20170703072,19
20170703073,77
20170703074,8
20170703081,75
20170703082,23
20170703083,80
20170703084,15
20170703091,88
20170703092,26
20170703093,84
20170703094,19
20170703101,105
20170703102,29
20170703103,88
20170703104,16
20170703111,118
20170703112,33
20170703113,90
20170703114,24
20170703121,122
20170703122,37
20170703123,91
20170703124,28
20170703131,116
20170703132,38
20170703133,91
20170703134,25
20170703141,128
20170703142,40
20170703143,90
20170703144,26
20170703151,125
20170703152,41
20170703153,90
20170703154,19
20170703161,126
20170703162,39
20170703163,90
20170703164,25
20170703171,132
20170703172,41
20170703173,90
20170703174,19
20170703181,143
20170703182,43
20170703183,93
20170703184,24
20170703191,148
20170703192,44
20170703193,95
20170703194,27
20170703201,129
20170703202,45
20170703203,84
20170703204,24
20170703211,126
20170703212,44
20170703213,96
20170703214,26
20170703221,123
20170703222,42
20170703223,88
20170703224,21
20170703231,119
20170703232,42
20170703233,85
20170703234,20
20170704001,110
20170704002,39
20170704003,76
20170704004,21
20170704011,97
20170704012,36
20170704013,65
20170704014,20
20170704021,88
20170704022,33
20170704023,76
20170704024,16
20170704031,77
20170704032,31
20170704033,78
20170704034,15
20170704041,71
20170704042,27
20170704043,77
20170704044,19
20170704051,69
20170704052,25
20170704053,76
20170704054,19
20170704061,71
20170704062,25
20170704063,77
20170704064,19
20170704071,75
20170704072,27
20170704073,79
20170704074,10
20170704081,85
20170704082,29
20170704083,81
20170704084,21
20170704091,98
20170704092,31
20170704093,86
20170704094,25
20170704101,113
20170704102,34
20170704103,89
20170704104,24
20170704111,125
20170704112,39
20170704113,91
20170704114,25
20170704121,129
20170704122,40
20170704123,91
20170704124,18
20170704131,122
20170704132,40
20170704133,91
20170704134,18
20170704141,136
20170704142,43
20170704143,90
20170704144,20
20170704151,132
20170704152,43
20170704153,90
20170704154,26
20170704161,131
20170704162,43
20170704163,90
20170704164,27
20170704171,134
20170704172,43
20170704173,90
20170704174,20
20170704181,140
20170704182,44
20170704183,91
20170704184,20
20170704191,142
20170704192,45
20170704193,95
20170704194,23
20170704201,132
20170704202,46
20170704203,95
20170704204,27
20170704211,130
20170704212,45
20170704213,95
20170704214,22
20170704221,122
20170704222,43
20170704223,88
20170704224,22
20170704231,119
20170704232,42
20170704233,85
20170704234,25
20170705001,106
20170705002,39
20170705003,76
20170705004,25
20170705011,92
20170705012,36
20170705013,64
20170705014,13
20170705021,83
20170705022,34
20170705023,76
20170705024,17
20170705031,74
20170705032,30
20170705033,77
20170705034,10
20170705041,67
20170705042,27
20170705043,76
20170705044,15
20170705051,64
20170705052,24
20170705053,76
20170705054,15
20170705061,66
20170705062,25
20170705063,76
20170705064,9
20170705071,73
20170705072,26
20170705073,78
20170705074,10
20170705081,80
20170705082,28
20170705083,81
20170705084,17
20170705091,94
20170705092,31
20170705093,85
20170705094,22
20170705101,109
20170705102,34
20170705103,89
20170705104,18
20170705111,122
20170705112,38
20170705113,90
20170705114,20
20170705121,126
20170705122,40
20170705123,92
20170705124,31
20170705131,119
20170705132,41
20170705133,91
20170705134,21
20170705141,133
20170705142,43
20170705143,90
20170705144,21
20170705151,130
20170705152,44
20170705153,89
20170705154,19
20170705161,129
20170705162,42
20170705163,90
20170705164,21
20170705171,134
20170705172,42
20170705173,91
20170705174,21
20170705181,140
20170705182,44
20170705183,94
20170705184,26
20170705191,142
20170705192,45
20170705193,96
20170705194,20
20170705201,133
20170705202,46
20170705203,96
20170705204,18
20170705211,126
20170705212,44
20170705213,100
20170705214,19
20170705221,122
20170705222,43
20170705223,81
20170705224,19
20170705231,120
20170705232,41
20170705233,86
20170705234,18
20170706001,107
20170706002,39
20170706003,77
20170706004,16
20170706011,96
20170706012,36
20170706013,66
20170706014,14
20170706021,83
20170706022,33
20170706023,78
20170706024,12
20170706031,74
20170706032,30
20170706033,79
20170706034,17
20170706041,68
20170706042,27
20170706043,79
20170706044,17
20170706051,66
20170706052,25
20170706053,78
20170706054,17
20170706061,69
20170706062,24
20170706063,79
20170706064,11
20170706071,73
20170706072,26
20170706073,81
20170706074,17
20170706081,82
20170706082,28
20170706083,84
20170706084,12
20170706091,96
20170706092,31
20170706093,88
20170706094,15
20170706101,113
20170706102,34
20170706103,92
20170706104,25
20170706111,124
20170706112,38
20170706113,94
20170706114,21
20170706121,127
20170706122,40
20170706123,95
20170706124,20
20170706131,119
20170706132,41
20170706133,95
20170706134,22
20170706141,134
20170706142,43
20170706143,94
20170706144,22
20170706151,131
20170706152,43
20170706153,94
20170706154,22
20170706161,130
20170706162,42
20170706163,94
20170706164,19
20170706171,134
20170706172,43
20170706173,94
20170706174,21
20170706181,140
20170706182,44
20170706183,96
20170706184,18
20170706191,142
20170706192,45
20170706193,101
20170706194,30
20170706201,132
20170706202,45
20170706203,102
20170706204,24
20170706211,125
20170706212,44
20170706213,90
20170706214,24
20170706221,121
20170706222,42
20170706223,91
20170706224,19
20170706231,119
20170706232,41
20170706233,88
20170706234,22
20170707001,106
20170707002,39
20170707003,79
20170707004,23
20170707011,92
20170707012,35
20170707013,67
20170707014,20
20170707021,81
20170707022,32
20170707023,78
20170707024,18
20170707031,71
20170707032,29
20170707033,82
20170707034,11
20170707041,65
20170707042,25
20170707043,69
20170707044,16
20170707051,63
20170707052,23
20170707053,78
20170707054,16
20170707061,64
20170707062,23
20170707063,79
20170707064,11
20170707071,71
20170707072,23
20170707073,81
20170707074,17
20170707081,77
20170707082,27
20170707083,74
20170707084,19
20170707091,91
20170707092,29
20170707093,88
20170707094,23
20170707101,108
20170707102,30
20170707103,91
20170707104,19
20170707111,118
20170707112,34
20170707113,93
20170707114,21
20170707121,119
20170707122,37
20170707123,94
20170707124,32
20170707131,112
20170707132,38
20170707133,93
20170707134,29
20170707141,127
20170707142,39
20170707143,92
20170707144,32
20170707151,123
20170707152,40
20170707153,93
20170707154,22
20170707161,122
20170707162,38
20170707163,92
20170707164,22
20170707171,121
20170707172,38
20170707173,92
20170707174,22
20170707181,126
20170707182,40
20170707183,95
20170707184,19
20170707191,132
20170707192,40
20170707193,100
20170707194,25
20170707201,120
20170707202,40
20170707203,101
20170707204,19
20170707211,114
20170707212,38
20170707213,99
20170707214,20
20170707221,109
20170707222,36
20170707223,91
20170707224,19
20170707231,102
20170707232,34
20170707233,86
20170707234,21
20170708001,92
20170708002,32
20170708003,89
20170708004,17
20170708011,81
20170708012,29
20170708013,83
20170708014,14
20170708021,69
20170708022,26
20170708023,92
20170708024,12
20170708031,58
20170708032,22
20170708033,93
20170708034,11
20170708041,51
20170708042,18
20170708043,92
20170708044,11
20170708051,48
20170708052,16
20170708053,91
